model_file,model_type,symbol,size_mb,modified_date,age_days,training_script,training_confidence,inference_usage,inference_count,status,recommendation
lgb_reg.joblib,UNKNOWN,,0.48,2025-12-19T01:08:28.141449,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-19T01:08:28.165449,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-19T01:08:17.089453,1,None,0.0,None,0,ORPHANED,REVIEW
buy_model.keras,UNKNOWN,,1.71,2025-12-19T01:06:36.401481,1,None,0.0,None,0,ORPHANED,REVIEW
sell.weights.h5,UNKNOWN,,1.61,2025-12-19T01:06:35.769482,1,None,0.0,None,0,ORPHANED,REVIEW
sell_model.keras,UNKNOWN,,1.71,2025-12-19T01:06:36.773481,1,None,0.0,None,0,ORPHANED,REVIEW
buy.weights.h5,UNKNOWN,,1.61,2025-12-19T01:06:35.649482,1,None,0.0,None,0,ORPHANED,REVIEW
features.pkl,UNKNOWN,,0.0,2025-12-19T01:06:38.261481,1,None,0.0,None,0,ORPHANED,REVIEW
buy_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T01:06:35.125483,1,None,0.0,None,0,ORPHANED,REVIEW
metadata.pkl,UNKNOWN,,0.0,2025-12-19T01:06:38.281481,1,None,0.0,None,0,ORPHANED,REVIEW
sell_calibrated.pkl,UNKNOWN,,1.71,2025-12-19T01:06:35.401483,1,None,0.0,None,0,ORPHANED,REVIEW
feature_scaler.pkl,scaler,,0.0,2025-12-19T01:06:38.261481,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:48:42.367911,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:48:25.147917,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.33,2025-12-18T22:48:42.367911,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:48:42.383911,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.1,2025-12-18T22:48:25.147917,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:43:14.872002,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:43:01.656011,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.37,2025-12-18T22:43:14.872002,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:43:14.880002,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:43:01.656011,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:40:44.404044,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:40:17.796054,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.43,2025-12-18T22:40:44.404044,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:40:44.416044,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:40:17.796054,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:23:49.408355,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:23:41.732357,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.4,2025-12-18T22:23:49.404355,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:23:49.416354,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_reg.joblib,UNKNOWN,,0.11,2025-12-18T22:23:41.732357,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_scaler.joblib,scaler,,0.0,2025-12-18T22:37:37.444089,1,None,0.0,None,0,ORPHANED,REVIEW
xgb_scaler.joblib,scaler,,0.0,2025-12-18T22:37:23.828099,1,None,0.0,None,0,ORPHANED,REVIEW
lgb_reg.joblib,UNKNOWN,,0.42,2025-12-18T22:37:37.444089,1,None,0.0,None,0,ORPHANED,REVIEW
feature_columns.pkl,UNKNOWN,,0.0,2025-12-18T22:37:37.456089,1,None,0.0,None,0,ORPHANED,REVIEW
